Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm),Prin1 (L. gentilis),Prin1 (C. coccinea)
17514,M.tener,Mt63,31.02,-97.51,Bell,Texas,0.391008432,0.411592301,58.55463752,67.10528077,-0.331893837,-0.637757309
15388,M.tener,Mt64,31.47,-94.48,Nacogdoches,Texas,0.371228439,0.429614854,52.2159134,59.89960526,-0.774932576,-1.156209826
15151,M.tener,Mt65,29.77,-95.65,Harris,Texas,0.389691904,0.38657607,49.58480487,53.16050848,-0.04587171,-0.271096703
14780,M.tener,Mt66,30.53,-95.35,Montgomery,Texas,0.426653721,0.384260653,43.20531871,50.62210623,0.404561276,0.21778405
19064,M.tener,Mt67,30.97,-94.15,Jasper,Texas,0.458222974,0.372972162,43.80042718,50.7732127,0.901335701,0.777819424
14110,M.tener,Mt68,29.62,-96.48,Colorado,Texas,0.41519504,0.396335646,29.72635219,31.93607871,0.128235694,-0.107569528
23482,M.tener,Mt69,29.15,-95.64,Brazoria,Texas,0.412818703,0.4119396,53.08590877,56.51347137,-0.086727292,-0.375502619
27504,M.tener,Mt70,29.98,-97.98,Hays,Texas,0.365811701,0.383862923,60.72441906,65.67752323,-0.286229525,-0.52254192
29042,M.tener,Mt71,28.77,-96.35,Jackson,Texas,0.469560596,0.392553964,50.91449791,57.66078445,0.795283927,0.617258541
20755,M.tener,Mt72,30.92,-95.4,Trinity,Texas,0.447807555,0.385551346,54.24005189,59.41924848,0.630869232,0.457549223
20899,M.tener,Mt73,27.15,-98.32,Brooks,Texas,0.380654638,0.451722258,60.6615648,68.14729461,-0.933232654,-1.37886824
23483,M.tener,Mt74,29.05,-95.42,Brazoria,Texas,0.397007804,0.410375566,55.99209576,61.01599848,-0.248662352,-0.545537649
20898,M.tener,Mt75,27.15,-98.32,Brooks,Texas,0.369619275,0.430253299,70.73853488,76.99915116,-0.801013136,-1.185720941
20424,M.tener,Mt76,28.59,-97.23,Goliad,Texas,0.466699857,0.362061639,28.46537407,31.2744229,1.129557285,1.048772843
29043,M.tener,Mt77,30.81,-96.79,Milam,Texas,0.438338948,0.366596682,60.90585402,68.72959257,0.750740874,0.63144245
27505,M.tener,Mt78,31.22,-96.43,Robertson,Texas,0.465164502,0.34749489,25.29713456,28.43995756,1.287316892,1.252845277
81130,M.tener,Mt79,28.3,-97.32,Refugio,Texas,0.358373068,0.451441111,61.30812261,66.06620661,-1.184583481,-1.647917137
88710,M.tener,Mt80,30.13,-98.89,Kendall,Texas,0.384148711,0.394475621,53.71635624,61.69632857,-0.204316417,-0.459983987
81123,M.tener,Mt81,29.75,-95.38,Harris,Texas,0.446704356,0.403018229,48.5287925,54.8505035,0.408040844,0.176727496
81126,M.tener,Mt82,29.75,-95.38,Harris,Texas,0.373540932,0.438247422,44.88180428,48.96018356,-0.852388954,-1.259940271
81122,M.tener,Mt83,29.75,-95.38,Harris,Texas,0.459859868,0.380710823,53.99775824,59.1555956,0.826913803,0.67947975
81125,M.tener,Mt84,29.75,-95.38,Harris,Texas,0.445605232,0.380150496,71.15468291,77.0147851,0.670691014,0.513177751
84720,M.tener,Mt85,30.2,-97.25,Bastrop,Texas,0.484100643,0.379811262,60.8632242,66.03854789,1.114873241,0.990632079
81127,M.tener,Mt86,29.75,-95.38,Harris,Texas,0.397199977,0.386687313,38.48054098,44.34784502,0.038625652,-0.180689674
83948,M.tener,Mt87,29.6,-100.43,Kinney,Texas,0.393381342,0.387043155,48.0325043,51.83797545,-0.009313565,-0.232982121
81128,M.tener,Mt88,28.8,-97,Victoria,Texas,0.447245081,0.373246474,69.84089562,75.55203965,0.772529356,0.63894454
80655,M.tener,Mt89,30.49,-96.3,Brazos,Texas,0.425120288,0.408231544,45.98542238,50.4862961,0.098537709,-0.167843633
81129,M.tener,Mt90,29.18,-96.27,Wharton,Texas,0.41533605,0.397818997,65.67691632,71.87662111,0.111995485,-0.128538647
81124,M.tener,Mt91,29.75,-95.38,Harris,Texas,0.412925771,0.413718145,46.74810675,52.41981945,-0.106908239,-0.401405357
81678,M.tener,Mt92,30.48,-96.33,Brazos,Texas,0.366534501,0.447058927,47.31654986,50.94571918,-1.038537633,-1.480733826
80500,M.tener,Mt93,30.63,-96.33,Brazos,Texas,0.444808346,0.382154697,49.82394598,56.41459614,0.637459799,0.472732161
82562,M.tener,Mt94,28.93,-97.83,Karnes,Texas,0.416940501,0.405200418,55.34909398,61.81365572,0.041502109,-0.221809655
82560,M.tener,Mt95,30.4,-96.1,Grimes,Texas,0.410199733,0.409662371,28.6064399,31.05753559,-0.08926199,-0.372784861
82561,M.tener,Mt96,31.43,-95.8,Leon,Texas,0.428910782,0.410623887,27.28593332,29.27293299,0.113080466,-0.157950626
94447,M.tener,Mt97,31.57,-94.65,Nacogdoches,Texas,0.439511028,0.338908292,57.54986653,64.59378494,1.097373814,1.06952421
94336,M.tener,Mt98,29.6,-96.52,Colorado,Texas,0.447733254,0.378032363,43.0006412,49.27667857,0.720511652,0.571697217
94337,M.tener,Mt99,31.03,-94.25,Jasper,Texas,0.550742839,0.327880113,50.48490701,57.3855121,2.501759034,2.602879483
93820,M.tener,Mt100,27.63,-97.28,Nueces,Texas,0.329504253,0.454673759,70.83992935,81.31826153,-1.553532056,-2.051548591
85151,M.tener,Mt101,30.57,-96.23,Brazos,Texas,0.44721783,0.376969486,35.64227747,40.51115234,0.72741091,0.581638691
92467,M.tener,Mt103,30.88,-96.57,Robertson,Texas,0.459560117,0.389756178,42.71144357,48.22772744,0.714624956,0.537385506
85871,M.tener,Mt104,30.48,-96.27,Brazos,Texas,0.489099834,0.346377835,55.14056055,63.6739022,1.574401913,1.563578629
87461,M.tener,Mt105,30.25,-94.15,Hardin,Texas,0.42385608,0.376269235,61.32478509,67.02852383,0.468754873,0.305751459
85305,M.tener,Mt106,30.1,-95.42,Montgomery,Texas,0.475449863,0.383847415,43.10989569,48.43584052,0.967397449,0.822740592
86601,M.tener,Mt107,29.1,-96.4,Wharton,Texas,0.453844438,0.373653766,46.3429961,50.70098539,0.84307482,0.713673105
93564,M.tener,Mt108,29.87,-97.96,Hays,Texas,0.421167927,0.362931909,64.00921887,72.7347625,0.598538841,0.47686803
89406,M.tener,Mt109,29.34,-98.45,Bexar,Texas,0.427620244,0.389417507,44.50670725,50.84315585,0.353547708,0.150728438
85250,M.tener,Mt111,31.02,-96.48,Robertson,Texas,0.461119369,0.378891603,63.19901735,67.94354831,0.863207604,0.72277004
85885,M.tener,Mt112,30.6,-95.57,Walker,Texas,0.461552195,0.390907471,44.87718016,51.79004431,0.723543475,0.544206691
86558,M.tener,Mt113,29.88,-100.99,Val Verde,Texas,0.423160626,0.372402969,53.67284809,60.52579358,0.507335059,0.356383284
88251,M.tener,Mt114,30.12,-97.07,Bastrop,Texas,0.420237956,0.38692622,52.89664263,59.97099968,0.299132502,0.098285257
85149,M.tener,Mt115,28.08,-97.05,Aransas,Texas,0.440475179,0.389618953,55.47090776,60.70045672,0.498087565,0.305350641
8728,M.tener,Mt116,29.16,-95.5,Brazoria,Texas,0.37316849,0.433685301,30.98277939,33.64395711,-0.801741227,-1.194697375
