Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm)
634,C. coccinea (East),Cc119,28.53,-81.52,Orange,Florida,0.50541739,0.319163442,41.51428782,48.36316605
633,C. coccinea (East),Cc120,28.53,-81.52,Orange,Florida,0.419719657,0.387699289,44.13949807,51.52137452
632,C. coccinea (East),Cc121,28.53,-81.52,Orange,Florida,0.426087972,0.369731544,43.50472727,49.41102273
630,C. coccinea (East),Cc123,28.53,-81.52,Orange,Florida,0.383488479,0.327207119,56.73025714,63.8494
18193,C. coccinea (East),Cc127,28.53,-81.52,Orange,Florida,0.321746185,0.401773917,29.00580779,33.36866494
113964,C. coccinea (East),Cc431,28.67691,-81.19917,Seminole,Florida,0.344652147,0.494578784,52.479,60.236
4579,C. coccinea (East),Cc429,28.8189,-81.0972,Seminole,Florida,0.364088081,0.442082687,47.093,54.223
113885,C. coccinea (East),Cc375,28.574801,-81.865962,Lake,Florida,0.410006655,0.381874282,16.529,19.504
4577,C. coccinea (East),Cc458,28.847777,-81.243632,Volusia,Florida,0.352939317,0.407221871,63.28,72.244
84061,C. coccinea (East),Cc432,28.83126,-81.31656,Seminole,Florida,0.633908547,0.243739098,32.104,36.36
4582,C. coccinea (East),Cc459,28.968847,-81.229114,Volusia,Florida,0.471346392,0.312422632,27.466,32.832
207261,C. coccinea (East),Cc165,28.6863,-82.2508,Sumter,Florida,0.232366412,0.446629454,24.80118337,28.81669438
208619,C. coccinea (East),Cc167,28.6863,-82.2508,Sumter,Florida,0.377732832,0.348780231,35.49843396,40.95116981
7061,C. coccinea (East),Cc430,29.029999,-81.204079,Volusia,Florida,0.417137438,0.368674845,49.564,61.066
81832,C. coccinea (East),Cc433,28.763087,-82.115188,Sumter,Florida,0.318059179,0.471425067,44.847,50.897
5403,C. coccinea (East),Cc183,28.75,-82.3,Citrus,Florida,0.317680309,0.420927316,40.36256462,48.19157447
84,C. coccinea (East),Cc373,28.929431,-81.6656303,Lake,Florida,0.503283466,0.259529823,25.735,29.889
113884,C. coccinea (East),Cc461,29.06313,-81.35588,Volusia,Florida,0.444204612,0.357659232,29.187,33.706
304,C. coccinea (East),Cc372,28.936583,-81.718097,Lake,Florida,0.395726839,0.433662627,34.822,40.345
58915,C. coccinea (East),Cc42,28.84,-82.31,Citrus,Florida,0.215215171,0.449975925,35.43499456,41.07888026
83442,C. coccinea (East),Cc434,28.865241,-82.1436,Sumter,Florida,0.486478338,0.309656607,33.169,36.778
113826,C. coccinea (East),Cc334,28.812764,-82.687321,Citrus,Florida,0.357549065,0.367180505,41.323,47.176
4578,C. coccinea (East),Cc443,29.11994,-81.351401,Volusia,Florida,0.466103808,0.331569948,56.142,64.284
233378,C. coccinea (East),Cc171,28.84449,-82.48798,Citrus,Florida,0.317854311,0.445443479,39.90983784,45.46051892
113827,C. coccinea (East),Cc333,28.855966,-82.670714,Citrus,Florida,0.416898847,0.378801654,34.097,41.396
159893,C. coccinea (East),Cc460,29.15,-81.374,Volusia,Florida,0.330529558,0.488804644,42.205,48.555
80771,C. coccinea (East),Cc332,28.870955,-82.608575,Citrus,Florida,0.299258632,0.412243169,47.21,54.524
81834,C. coccinea (East),Cc331,28.88443,-82.542898,Citrus,Florida,0.368709631,0.358823652,48.149,56.12
4583,C. coccinea (East),Cc444,29.155525,-81.520821,Volusia,Florida,0.493221183,0.342648442,36.142,42.696
18915,C. coccinea (East),Cc100,29.16,-81.57,Lake,Florida,0.231860025,0.452821251,14.55632399,16.65302914
18916,C. coccinea (East),Cc101,29.16,-81.57,Lake,Florida,0.318939584,0.481559263,13.83787874,16.03789545
18917,C. coccinea (East),Cc99,29.16,-81.57,Lake,Florida,0.322722773,0.439707972,14.78741589,16.96446567
4580,C. coccinea (East),Cc374,29.168775,-81.617214,Lake,Florida,0.358396149,0.382086527,47.361,54.543
300708,C. coccinea (East),Cc160,29.36,-81.64,Putnam,Flordia,0.426923798,0.359190167,35.05406369,40.66628025
113928,C. coccinea (East),Cc391,29.30541,-81.81543,Marion,Florida,0.421438206,0.375869456,37.811,43.083
5929,C. coccinea (East),Cc1030,29.2411109,-82.0876311,Marion,Florida,0.180766042,0.39585475,30.155,34.236
113926,C. coccinea (East),Cc393,29.2411109,-82.0876311,Marion,Florida,0.35919596,0.329513821,30.894,36.613
35253,C. coccinea (East),Cc469,29.2411109,-82.0876311,Marion,Florida,0.361761756,0.39663107,33.898,39.334
11802,C. coccinea (East),Cc147,29.36,-81.76,Marion,Florida,0.564016888,0.282351038,37.91507216,43.17639175
15632,C. coccinea (East),Cc148,29.36,-81.76,Marion,Florida,0.32737959,0.485067444,54.54535514,62.01908411
113887,C. coccinea (East),Cc381,29.20719,-83.06756,Levy,Florida,0.279961715,0.477997311,43.881,50.249
113940,C. coccinea (East),Cc392,29.3623,-81.866,Marion,Florida,0.42214731,0.368051139,31.444,37.055
